%time,field.layout.data_offset,field.data0,field.data1,field.data2
11000000,0,0.0,0.0,0.0
11000000,0,0.0,0.0,0.0
11000000,0,0.0,0.0,0.0
11000000,0,0.0,0.0,0.0
11000000,0,0.0,0.0,0.0
11000000,0,0.0,0.0,0.0
11000000,0,0.0,0.0,0.0
11000000,0,0.0,0.0,0.0
11000000,0,0.0,0.0,0.0
11000000,0,0.0,0.0,0.0
20000000,0,0.0,0.0,0.0
20000000,0,0.0,0.0,0.0
20000000,0,0.0,0.0,0.0
20000000,0,0.0,0.0,0.0
20000000,0,0.0,0.0,0.0
20000000,0,0.0,0.0,0.0
20000000,0,0.0,0.0,0.0
20000000,0,0.0,0.0,0.0
20000000,0,0.0,0.0,0.0
30000000,0,0.0,0.0,0.0
30000000,0,0.0,0.0,0.0
30000000,0,0.0,0.0,0.0
30000000,0,0.0,0.0,0.0
30000000,0,0.0,0.0,0.0
30000000,0,0.0,0.0,0.0
30000000,0,0.0,0.0,0.0
30000000,0,0.0,0.0,0.0
30000000,0,0.0,0.0,0.0
30000000,0,0.0,0.0,0.0
40000000,0,0.0,0.0,0.0
40000000,0,0.0,0.0,0.0
40000000,0,0.0,0.0,0.0
40000000,0,0.0,0.0,0.0
40000000,0,0.0,0.0,0.0
40000000,0,0.0,0.0,0.0
40000000,0,0.0,0.0,0.0
40000000,0,0.0,0.0,0.0
40000000,0,0.0,0.0,0.0
40000000,0,0.0,0.0,0.0
51000000,0,0.0,0.0,0.0
51000000,0,0.0,0.0,0.0
51000000,0,0.0,0.0,0.0
51000000,0,0.0,0.0,0.0
51000000,0,0.0,0.0,0.0
51000000,0,0.0,0.0,0.0
51000000,0,0.0,0.0,0.0
51000000,0,0.0,0.0,0.0
51000000,0,0.0,0.0,0.0
51000000,0,0.0,0.0,0.0
60000000,0,0.0,0.0,0.0
60000000,0,0.0,0.0,0.0
60000000,0,0.0,0.0,0.0
60000000,0,0.0,0.0,0.0
60000000,0,0.0,0.0,0.0
60000000,0,0.0,0.0,0.0
60000000,0,0.0,0.0,0.0
60000000,0,0.0,0.0,0.0
60000000,0,0.0,0.0,0.0
60000000,0,0.0,0.0,0.0
70000000,0,0.0,0.0,0.0
70000000,0,0.0,0.0,0.0
70000000,0,0.0,0.0,0.0
70000000,0,0.0,0.0,0.0
70000000,0,0.0,0.0,0.0
70000000,0,0.0,0.0,0.0
70000000,0,0.0,0.0,0.0
81000000,0,0.0,0.0,0.0
81000000,0,0.0,0.0,0.0
81000000,0,0.0,0.0,0.0
81000000,0,0.0,0.0,0.0
81000000,0,0.0,0.0,0.0
81000000,0,0.0,0.0,0.0
81000000,0,0.0,0.0,0.0
81000000,0,0.0,0.0,0.0
81000000,0,0.0,0.0,0.0
81000000,0,0.0,0.0,0.0
90000000,0,0.0,0.0,0.0
90000000,0,0.0,0.0,0.0
90000000,0,0.0,0.0,0.0
90000000,0,0.0,0.0,0.0
90000000,0,0.0,0.0,0.0
90000000,0,0.0,0.0,0.0
90000000,0,0.0,0.0,0.0
90000000,0,0.0,0.0,0.0
90000000,0,0.0,0.0,0.0
90000000,0,0.0,0.0,0.0
100000000,0,0.0,0.0,0.0
100000000,0,0.0,0.0,0.0
100000000,0,0.0,0.0,0.0
100000000,0,0.0,0.0,0.0
100000000,0,0.0,0.0,0.0
100000000,0,0.0,0.0,0.0
100000000,0,0.0,0.0,0.0
100000000,0,0.0,0.0,0.0
100000000,0,0.0,0.0,0.0
100000000,0,0.0,0.0,0.0
110000000,0,0.0,0.0,0.0
110000000,0,0.0,0.0,0.0
110000000,0,0.0,0.0,0.0
110000000,0,0.0,0.0,0.0
110000000,0,0.0,0.0,0.0
110000000,0,0.0,0.0,0.0
110000000,0,0.0,0.0,0.0
110000000,0,0.0,0.0,0.0
111000000,0,0.0,0.0,0.0
120000000,0,0.0,0.0,0.0
120000000,0,0.0,0.0,0.0
120000000,0,0.0,0.0,0.0
120000000,0,0.0,0.0,0.0
120000000,0,0.0,0.0,0.0
120000000,0,0.0,0.0,0.0
120000000,0,0.0,0.0,0.0
120000000,0,0.0,0.0,0.0
120000000,0,0.0,0.0,0.0
120000000,0,0.0,0.0,0.0
130000000,0,0.0,0.0,0.0
130000000,0,0.0,0.0,0.0
130000000,0,0.0,0.0,0.0
130000000,0,0.0,0.0,0.0
130000000,0,0.0,0.0,0.0
130000000,0,0.0,0.0,0.0
130000000,0,0.0,0.0,0.0
130000000,0,0.0,0.0,0.0
130000000,0,0.0,0.0,0.0
130000000,0,0.0,0.0,0.0
140000000,0,0.0,0.0,0.0
140000000,0,0.0,0.0,0.0
140000000,0,0.0,0.0,0.0
140000000,0,0.0,0.0,0.0
140000000,0,0.0,0.0,0.0
140000000,0,0.0,0.0,0.0
140000000,0,0.0,0.0,0.0
140000000,0,0.0,0.0,0.0
140000000,0,0.0,0.0,0.0
140000000,0,0.0,0.0,0.0
150000000,0,0.0,0.0,0.0
150000000,0,0.0,0.0,0.0
150000000,0,0.0,0.0,0.0
150000000,0,0.0,0.0,0.0
150000000,0,0.0,0.0,0.0
150000000,0,0.0,0.0,0.0
150000000,0,0.0,0.0,0.0
150000000,0,0.0,0.0,0.0
150000000,0,0.0,0.0,0.0
150000000,0,0.0,0.0,0.0
160000000,0,0.0,0.0,0.0
160000000,0,0.0,0.0,0.0
160000000,0,0.0,0.0,0.0
160000000,0,0.0,0.0,0.0
160000000,0,0.0,0.0,0.0
160000000,0,0.0,0.0,0.0
160000000,0,0.0,0.0,0.0
160000000,0,0.0,0.0,0.0
160000000,0,0.0,0.0,0.0
160000000,0,0.0,0.0,0.0
171000000,0,0.0,0.0,0.0
171000000,0,0.0,0.0,0.0
171000000,0,0.0,0.0,0.0
171000000,0,0.0,0.0,0.0
171000000,0,0.0,0.0,0.0
171000000,0,0.0,0.0,0.0
171000000,0,0.0,0.0,0.0
171000000,0,0.0,0.0,0.0
171000000,0,0.0,0.0,0.0
171000000,0,0.0,0.0,0.0
180000000,0,0.0,0.0,0.0
180000000,0,0.0,0.0,0.0
180000000,0,0.0,0.0,0.0
180000000,0,0.0,0.0,0.0
180000000,0,0.0,0.0,0.0
180000000,0,0.0,0.0,0.0
180000000,0,0.0,0.0,0.0
180000000,0,0.0,0.0,0.0
180000000,0,0.0,0.0,0.0
180000000,0,0.0,0.0,0.0
190000000,0,0.0,0.0,0.0
190000000,0,0.0,0.0,0.0
190000000,0,0.0,0.0,0.0
190000000,0,0.0,0.0,0.0
190000000,0,0.0,0.0,0.0
190000000,0,0.0,0.0,0.0
190000000,0,0.0,0.0,0.0
190000000,0,0.0,0.0,0.0
190000000,0,0.0,0.0,0.0
190000000,0,0.0,0.0,0.0
201000000,0,0.0,0.0,0.0
201000000,0,0.0,0.0,0.0
201000000,0,0.0,0.0,0.0
201000000,0,0.0,0.0,0.0
201000000,0,0.0,0.0,0.0
201000000,0,0.0,0.0,0.0
201000000,0,0.0,0.0,0.0
201000000,0,0.0,0.0,0.0
201000000,0,0.0,0.0,0.0
201000000,0,0.0,0.0,0.0
210000000,0,0.0,0.0,0.0
210000000,0,0.0,0.0,0.0
210000000,0,0.0,0.0,0.0
210000000,0,0.0,0.0,0.0
210000000,0,0.0,0.0,0.0
210000000,0,0.0,0.0,0.0
210000000,0,0.0,0.0,0.0
210000000,0,0.0,0.0,0.0
210000000,0,0.0,0.0,0.0
220000000,0,0.0,0.0,0.0
220000000,0,0.0,0.0,0.0
220000000,0,0.0,0.0,0.0
220000000,0,0.0,0.0,0.0
220000000,0,0.0,0.0,0.0
220000000,0,0.0,0.0,0.0
220000000,0,0.0,0.0,0.0
220000000,0,0.0,0.0,0.0
220000000,0,0.0,0.0,0.0
220000000,0,0.0,0.0,0.0
231000000,0,0.0,0.0,0.0
231000000,0,0.0,0.0,0.0
231000000,0,0.0,0.0,0.0
231000000,0,0.0,0.0,0.0
231000000,0,0.0,0.0,0.0
231000000,0,0.0,0.0,0.0
231000000,0,0.0,0.0,0.0
231000000,0,0.0,0.0,0.0
231000000,0,0.0,0.0,0.0
231000000,0,0.0,0.0,0.0
240000000,0,0.0,0.0,0.0
240000000,0,0.0,0.0,0.0
240000000,0,0.0,0.0,0.0
240000000,0,0.0,0.0,0.0
240000000,0,0.0,0.0,0.0
240000000,0,0.0,0.0,0.0
240000000,0,0.0,0.0,0.0
240000000,0,0.0,0.0,0.0
240000000,0,0.0,0.0,0.0
240000000,0,0.0,0.0,0.0
251000000,0,0.0,0.0,0.0
251000000,0,0.0,0.0,0.0
251000000,0,0.0,0.0,0.0
251000000,0,0.0,0.0,0.0
251000000,0,0.0,0.0,0.0
251000000,0,0.0,0.0,0.0
251000000,0,0.0,0.0,0.0
251000000,0,0.0,0.0,0.0
251000000,0,0.0,0.0,0.0
251000000,0,0.0,0.0,0.0
261000000,0,0.0,0.0,0.0
261000000,0,0.0,0.0,0.0
261000000,0,0.0,0.0,0.0
261000000,0,0.0,0.0,0.0
261000000,0,0.0,0.0,0.0
261000000,0,0.0,0.0,0.0
261000000,0,0.0,0.0,0.0
261000000,0,0.0,0.0,0.0
261000000,0,0.0,0.0,0.0
261000000,0,0.0,0.0,0.0
270000000,0,0.0,0.0,0.0
270000000,0,0.0,0.0,0.0
270000000,0,0.0,0.0,0.0
270000000,0,0.0,0.0,0.0
270000000,0,0.0,0.0,0.0
270000000,0,0.0,0.0,0.0
270000000,0,0.0,0.0,0.0
270000000,0,0.0,0.0,0.0
270000000,0,0.0,0.0,0.0
280000000,0,0.0,0.0,0.0
280000000,0,0.0,0.0,0.0
280000000,0,0.0,0.0,0.0
280000000,0,0.0,0.0,0.0
280000000,0,0.0,0.0,0.0
280000000,0,0.0,0.0,0.0
280000000,0,0.0,0.0,0.0
280000000,0,0.0,0.0,0.0
280000000,0,0.0,0.0,0.0
280000000,0,0.0,0.0,0.0
290000000,0,0.0,0.0,0.0
290000000,0,0.0,0.0,0.0
290000000,0,0.0,0.0,0.0
290000000,0,0.0,0.0,0.0
290000000,0,0.0,0.0,0.0
290000000,0,0.0,0.0,0.0
290000000,0,0.0,0.0,0.0
290000000,0,0.0,0.0,0.0
290000000,0,0.0,0.0,0.0
290000000,0,0.0,0.0,0.0
300000000,0,0.0,0.0,0.0
300000000,0,0.0,0.0,0.0
300000000,0,0.0,0.0,0.0
300000000,0,0.0,0.0,0.0
300000000,0,0.0,0.0,0.0
300000000,0,0.0,0.0,0.0
300000000,0,0.0,0.0,0.0
300000000,0,0.0,0.0,0.0
300000000,0,0.0,0.0,0.0
300000000,0,0.0,0.0,0.0
310000000,0,0.0,0.0,0.0
310000000,0,0.0,0.0,0.0
310000000,0,0.0,0.0,0.0
